Ticker 1,Ticker 2,P-Value
A,AIG,0.0104
A,AMT,0.0466
A,APD,0.0260
A,ED,0.0165
A,FLS,0.0236
A,KO,0.0096
A,MET,0.0086
A,PCAR,0.0011
A,PNW,0.0189
A,QCOM,0.0436
A,STI,0.0295
A,VFC,0.0453
A,VNO,0.0186
AA,APD,0.0308
AA,BBY,0.0241
AA,COP,0.0123
AA,HAL,0.0115
AA,HPQ,0.0181
AA,IPG,0.0286
AA,IR,0.0471
AA,KIM,0.0165
AA,MRK,0.0313
AA,MUR,0.0058
AA,NBR,0.0380
AA,OMC,0.0385
AA,PCAR,0.0052
AA,PRU,0.0002
AAPL,AMT,0.0229
AAPL,CA,0.0023
AAPL,HD,0.0390
AAPL,KO,0.0415
AAPL,M,0.0007
AAPL,SPG,0.0479
AAPL,TER,0.0028
ABT,ANF,0.0177
ABT,CMCSA,0.0366
ABT,DGX,0.0265
ABT,DHR,0.0145
ABT,EIX,0.0180
ABT,FMC,0.0264
ABT,GILD,0.0455
ABT,MMM,0.0259
ABT,MRK,0.0340
ABT,NWL,0.0355
ABT,PCG,0.0367
ABT,PRU,0.0490
ABT,STI,0.0439
ABT,STZ,0.0220
ABT,TDC,0.0161
ACN,AVB,0.0155
ACN,L,0.0225
ADBE,AVB,0.0010
ADBE,CMCSA,0.0402
ADBE,EQR,0.0040
ADBE,EXC,0.0499
ADBE,PRU,0.0441
ADBE,S,0.0054
ADBE,T,0.0366
ADBE,WY,0.0420
ADI,BBBY,0.0314
ADI,CCL,0.0341
ADI,D,0.0217
ADI,EL,0.0375
ADI,EXPD,0.0458
ADI,GNW,0.0492
ADI,HAS,0.0304
ADI,MPC,0.0141
ADI,MU,0.0315
ADI,NSC,0.0002
ADI,NVDA,0.0411
ADI,ORCL,0.0343
ADI,ROK,0.0477
ADI,STX,0.0391
ADI,TAP,0.0232
ADI,THC,0.0229
ADI,VLO,0.0389
ADI,WYNN,0.0479
ADI,XYL,0.0389
ADM,BLK,0.0326
ADM,BWA,0.0104
ADM,CAT,0.0432
ADM,D,0.0181
ADM,F,0.0415
ADM,GD,0.0104
ADM,GNW,0.0181
ADM,GPC,0.0408
ADM,MKC,0.0467
ADM,NSC,0.0428
ADM,NVDA,0.0028
ADM,ORCL,0.0174
ADM,SYY,0.0431
ADM,TEL,0.0442
ADP,AFL,0.0098
ADP,AKAM,0.0128
ADP,AMAT,0.0466
ADP,AMT,0.0323
ADP,ANF,0.0194
ADP,APD,0.0337
ADP,AVB,0.0324
ADP,BA,0.0364
ADP,BBT,0.0444
ADP,BBY,0.0373
ADP,BDX,0.0058
ADP,BEAM,0.0220
ADP,BIIB,0.0181
ADP,BMY,0.0298
ADP,BSX,0.0286
ADP,BTU,0.0225
ADP,BXP,0.0170
ADP,CAG,0.0444
ADP,CAH,0.0340
ADP,CAT,0.0495
ADP,CCI,0.0495
ADP,CF,0.0365
ADP,CHRW,0.0390
ADP,CLX,0.0228
ADP,CMCSA,0.0275
ADP,CME,0.0204
ADP,CMG,0.0456
ADP,CNX,0.0353
ADP,COP,0.0134
ADP,COST,0.0074
ADP,CPB,0.0166
ADP,CRM,0.0386
ADP,CTAS,0.0451
ADP,CVX,0.0482
ADP,DD,0.0286
ADP,DE,0.0029
ADP,DHI,0.0259
ADP,DHR,0.0128
ADP,DLTR,0.0296
ADP,DRI,0.0196
ADP,DV,0.0472
ADP,DVA,0.0320
ADP,ED,0.0475
ADP,EIX,0.0183
ADP,EMN,0.0437
ADP,EQR,0.0482
ADP,EQT,0.0203
ADP,FDX,0.0212
ADP,FIS,0.0454
ADP,FITB,0.0408
ADP,FLR,0.0390
ADP,FLS,0.0424
ADP,FMC,0.0311
ADP,GCI,0.0199
ADP,GD,0.0500
ADP,GIS,0.0221
ADP,GOOG,0.0476
ADP,GPC,0.0495
ADP,GT,0.0068
ADP,HAL,0.0118
ADP,HAS,0.0429
ADP,HD,0.0316
ADP,HP,0.0065
ADP,HPQ,0.0230
ADP,HST,0.0300
ADP,HSY,0.0449
ADP,HUM,0.0273
ADP,ICE,0.0250
ADP,INTC,0.0430
ADP,INTU,0.0369
ADP,IPG,0.0028
ADP,IR,0.0312
ADP,IRM,0.0354
ADP,IVZ,0.0477
ADP,KIM,0.0212
ADP,KMB,0.0413
ADP,KMX,0.0467
ADP,KO,0.0182
ADP,KSS,0.0229
ADP,LEN,0.0233
ADP,LMT,0.0190
ADP,LOW,0.0184
ADP,M,0.0106
ADP,MAS,0.0185
ADP,MAT,0.0310
ADP,MKC,0.0484
ADP,MOS,0.0190
ADP,MPC,0.0492
ADP,MSI,0.0110
ADP,NBR,0.0105
ADP,NE,0.0404
ADP,NEE,0.0387
ADP,NFLX,0.0257
ADP,NKE,0.0489
ADP,NOC,0.0494
ADP,NOV,0.0200
ADP,NRG,0.0240
ADP,NTAP,0.0361
ADP,NU,0.0467
ADP,NUE,0.0449
ADP,NWL,0.0229
ADP,OI,0.0209
ADP,OKE,0.0290
ADP,OMC,0.0114
ADP,PBI,0.0434
ADP,PCAR,0.0247
ADP,PCG,0.0199
ADP,PEG,0.0133
ADP,PEP,0.0039
ADP,PFE,0.0204
ADP,PFG,0.0441
ADP,PHM,0.0281
ADP,PM,0.0136
ADP,PNW,0.0489
ADP,PRGO,0.0400
ADP,PRU,0.0116
ADP,PSA,0.0472
ADP,PX,0.0458
ADP,RHI,0.0302
ADP,RRC,0.0325
ADP,RSG,0.0216
ADP,S,0.0236
ADP,SE,0.0437
ADP,SEE,0.0424
ADP,SJM,0.0387
ADP,SLB,0.0194
ADP,SLM,0.0060
ADP,SRE,0.0370
ADP,STI,0.0226
ADP,STZ,0.0491
ADP,SUN,0.0314
ADP,SWK,0.0265
ADP,SYK,0.0453
ADP,TAP,0.0460
ADP,TER,0.0166
ADP,TGT,0.0329
ADP,TMO,0.0084
ADP,TROW,0.0273
ADP,TSN,0.0333
ADP,TXT,0.0391
ADP,UNH,0.0114
ADP,UPS,0.0354
ADP,URBN,0.0304
ADP,USB,0.0476
ADP,VFC,0.0369
ADP,VNO,0.0421
ADP,VRSN,0.0370
ADP,WHR,0.0337
ADP,WU,0.0248
ADP,WY,0.0330
ADP,XRX,0.0427
ADSK,AXP,0.0275
ADSK,BAC,0.0193
ADSK,CAT,0.0468
ADSK,CF,0.0458
ADSK,ETN,0.0160
ADSK,FSLR,0.0115
ADSK,HBAN,0.0016
ADSK,HST,0.0458
ADSK,KEY,0.0338
ADSK,KMB,0.0463
ADSK,MMC,0.0353
ADSK,MPC,0.0466
ADSK,MTB,0.0295
ADSK,PNC,0.0435
ADSK,SRE,0.0225
ADSK,USB,0.0374
ADSK,VLO,0.0450
ADSK,VMC,0.0141
AEE,AEP,0.0139
AEE,AKAM,0.0248
AEE,AVB,0.0129
AEE,AVY,0.0027
AEE,AZO,0.0367
AEE,CMCSA,0.0106
AEE,CMG,0.0092
AEE,DHR,0.0360
AEE,DOW,0.0435
AEE,EQR,0.0447
AEE,FIS,0.0171
AEE,FMC,0.0084
AEE,GILD,0.0084
AEE,GWW,0.0420
AEE,IFF,0.0058
AEE,ORLY,0.0290
AEE,PPL,0.0334
AEE,PRU,0.0256
AEE,RHI,0.0426
AEE,STZ,0.0151
AEE,TDC,0.0203
AEE,TGT,0.0489
AEE,UPS,0.0308
AEE,XRAY,0.0070
AEE,XRX,0.0326
AEP,AVB,0.0070
AEP,CAG,0.0488
AEP,CMG,0.0090
AEP,DUK,0.0491
AEP,GILD,0.0315
AEP,ORLY,0.0193
AEP,PPL,0.0493
AEP,RHI,0.0109
AEP,UPS,0.0170
AEP,VTR,0.0285
AES,AIG,0.0483
AES,AIV,0.0102
AES,AIZ,0.0194
AES,ALL,0.0322
AES,AMAT,0.0354
AES,BBBY,0.0292
AES,BLK,0.0307
AES,BXP,0.0039
AES,CHRW,0.0376
AES,CLF,0.0365
AES,CMA,0.0267
AES,CNX,0.0082
AES,COST,0.0118
AES,CSX,0.0198
AES,CTSH,0.0142
AES,D,0.0337
AES,DD,0.0449
AES,DE,0.0486
AES,DELL,0.0202
AES,DHI,0.0065
AES,DRI,0.0418
AES,DVN,0.0254
AES,EA,0.0448
AES,ETN,0.0018
AES,EXC,0.0353
AES,EXPD,0.0488
AES,F,0.0378
AES,FCX,0.0151
AES,FE,0.0328
AES,FITB,0.0262
AES,FLR,0.0075
AES,GD,0.0358
AES,GME,0.0449
AES,GNW,0.0498
AES,GT,0.0138
AES,HD,0.0480
AES,HST,0.0465
AES,HSY,0.0181
AES,INTC,0.0143
AES,ISRG,0.0219
AES,ITW,0.0068
AES,IVZ,0.0433
AES,K,0.0243
AES,KEY,0.0352
AES,KIM,0.0223
AES,KSS,0.0272
AES,L,0.0476
AES,LOW,0.0230
AES,LUV,0.0052
AES,M,0.0114
AES,MCD,0.0218
AES,MCHP,0.0206
AES,MMC,0.0091
AES,MMM,0.0297
